motif,N,K,n,x,p
EEEE,1000,478,515,309,1.0190273341770146e-15
BBA,1000,478,169,120,1.9962892086224945e-11
CCCC,1000,478,23,22,8.721944436240193e-07
CCCCCCC,1000,478,15,14,0.0002472341712286295
AAAAAB,1000,478,179,123,4.0212366832305133e-10
EEG,1000,478,135,85,0.00010403902154667239
BBB,1000,478,184,124,2.5706219534342456e-09
CCC,1000,478,34,30,6.414155945468535e-07
FFFF,1000,478,64,47,1.54117792041823e-05
ABB,1000,478,210,146,7.780717526373097e-13
GGG,1000,478,233,147,6.627378729895216e-08
AABB,1000,478,185,130,7.125348911315211e-12
GGE,1000,478,146,95,4.327862201077177e-06
AAABBBB,1000,478,66,47,5.912770556041842e-05
BBBAAAA,1000,478,38,30,6.325581268965951e-05
AAAAAAA,1000,478,214,146,9.4208159658619e-12
EEED,1000,478,182,123,2.298976730661915e-09
EEE,1000,478,539,324,1.8751384111043194e-17
GEEE,1000,478,165,101,0.00010987123616703216
AAAA,1000,478,353,224,1.623736349562448e-13
DDDDDDDDDD,1000,478,152,117,1.7164539624827216e-15
AAA,1000,478,386,244,6.5644308468210656e-15
AAAAAA,1000,478,261,173,2.2923806459097627e-12
GGGG,1000,478,170,106,2.1153803150195488e-05
EEEED,1000,478,166,113,6.819809328171553e-09
EGG,1000,478,106,67,0.0005486290836067163
EDD,1000,478,202,142,4.34865281609525e-13
AAAAB,1000,478,202,136,3.264322538145932e-10
ABBBBB,1000,478,53,37,0.0007368775921728695
EEEEEEED,1000,478,110,74,1.0346800353571294e-05
FFCCCC,1000,478,10,10,0.0005925504882328832
GEE,1000,478,179,111,1.8386004228937228e-05
BBGG,1000,478,87,57,0.00038415954444445156
ABBB,1000,478,134,95,5.542856441357623e-09
DDD,1000,478,275,194,3.36280581636352e-19
GGEE,1000,478,126,83,9.843173167910352e-06
BBAAA,1000,478,128,93,9.569422679597867e-10
EEEDD,1000,478,175,119,2.5422616002268683e-09
AAAAA,1000,478,318,206,1.38670738353819e-13
EEEG,1000,478,118,76,8.486861107061607e-05
EEEDDDD,1000,478,137,97,4.0903019603113035e-09
CCCCCC,1000,478,16,15,0.00012377944520997804
BGGG,1000,478,88,58,0.0002652202532964802
DDDDDDDDD,1000,478,162,125,8.758932261029167e-17
AAB,1000,478,255,171,6.165669110426035e-13
AAABB,1000,478,165,116,1.4570446254876426e-10
AAAABBBB,1000,478,54,39,0.0001639000938341618
AAAB,1000,478,230,153,6.118726009781847e-11
AAABBB,1000,478,100,72,2.1335265155340696e-07
FCC,1000,478,15,14,0.0002472341712286295
BBAA,1000,478,150,108,6.946653851724656e-11
FFC,1000,478,18,17,3.060873081574927e-05
EEEEEE,1000,478,436,258,1.6465280639111304e-10
AABBB,1000,478,116,84,1.0100577429442476e-08
AAAAAAAAAA,1000,478,93,69,5.309176551882357e-08
DDDD,1000,478,247,176,8.321711867015335e-18
DDDDD,1000,478,222,164,4.0985353873876023e-19
